epoch,loss,acc,test_loss,test_acc
0,0.8736724177232156,0.6201923076923077,0.6431044752781208,0.75
1,0.5016929299021379,0.8413461538461539,0.3094732148142961,0.9230769230769231
2,0.33735621262055177,0.8814102564102564,0.15333805276224247,0.9615384615384616
3,0.27216457145718426,0.9182692307692307,0.0842612529030213,1.0
4,0.20829548550626406,0.9342948717948718,0.07296662433789326,1.0
5,0.21408968897631916,0.9166666666666666,0.06353830975981858,1.0
6,0.1959951646769276,0.9326923076923077,0.09967222179357822,0.9615384615384616
7,0.1371323401824786,0.9551282051282052,0.05465202506345052,1.0
8,0.22055102625670722,0.9198717948717948,0.05954174013235248,1.0
9,0.17105407444521403,0.9471153846153846,0.057067543536854476,0.9807692307692307
10,0.14501545761520854,0.9503205128205128,0.044866328181412354,1.0
11,0.16837631094938096,0.9358974358974359,0.04782528784842445,1.0
12,0.16186453602634943,0.9391025641025641,0.07217007932754663,0.9807692307692307
13,0.13720498587458563,0.9567307692307693,0.07281271382593192,0.9807692307692307
14,0.10342100178464673,0.9727564102564102,0.06962256566979565,0.9807692307692307
15,0.10810615663201763,0.9711538461538461,0.04542504216974171,0.9807692307692307
16,0.14101315015413535,0.9487179487179487,0.048547729330423936,1.0
17,0.08848464487789151,0.9743589743589743,0.05521341581613971,1.0
18,0.11616220116579476,0.9631410256410257,0.04749381294151625,1.0
19,0.08871973743542838,0.9727564102564102,0.041479921648995235,0.9807692307692307
20,0.10181595088961796,0.9647435897435898,0.03130254127944891,1.0
21,0.12140479888349102,0.9583333333333334,0.042265898413741246,1.0
22,0.08118909957388845,0.9727564102564102,0.0632600960894846,0.9807692307692307
23,0.07354705138818528,0.9759615384615384,0.04419754363166598,0.9807692307692307
24,0.11797394496627533,0.9551282051282052,0.0410313488682732,1.0
25,0.09322629055270973,0.9711538461538461,0.0466801936362082,0.9807692307692307
26,0.0797991728848921,0.9743589743589743,0.04493571247887583,1.0
27,0.11798564659264417,0.9567307692307693,0.02888622276413326,1.0
28,0.0853726387065716,0.9711538461538461,0.03416058008756059,1.0
29,0.08691835198073815,0.9759615384615384,0.03200123140301842,1.0
