epoch,loss,acc,test_loss,test_acc
0,0.7799151146259063,0.655448717948718,0.46860531660226673,0.8076923076923077
1,0.3506772752182606,0.9118589743589743,0.23910857364535332,0.9230769230769231
2,0.27947167947124213,0.8958333333333334,0.20582174481107637,0.9230769230769231
3,0.18229895369269145,0.9471153846153846,0.17798546372124782,0.9423076923076923
4,0.18572921613947704,0.9342948717948718,0.17455999596187702,0.9423076923076923
5,0.1646444479791591,0.9375,0.15934610476072592,0.9423076923076923
6,0.20340729630194032,0.9310897435897436,0.13326780662800258,0.9807692307692307
7,0.15927652397360176,0.9423076923076923,0.12042392446444584,0.9807692307692307
8,0.11703812464092596,0.9647435897435898,0.10522281084782802,0.9615384615384616
9,0.11447724937580717,0.9663461538461539,0.10032342843568096,0.9807692307692307
10,0.10794451964410165,0.9551282051282052,0.09600558346853806,0.9807692307692307
11,0.10668277999577232,0.9535256410256411,0.10922342811066371,0.9807692307692307
12,0.10872804693197115,0.9711538461538461,0.0984710140261226,0.9807692307692307
13,0.09511634277311178,0.967948717948718,0.0972559439161649,0.9615384615384616
14,0.14777961444969362,0.9471153846153846,0.09509724507538173,0.9807692307692307
15,0.09184076653148693,0.9727564102564102,0.08551227261957067,0.9807692307692307
16,0.10981419666234452,0.9551282051282052,0.08508616800491627,0.9807692307692307
17,0.09699361871342915,0.9727564102564102,0.10001673234196809,0.9807692307692307
18,0.10219492522390702,0.9615384615384616,0.07577002924293853,0.9807692307692307
19,0.10588528357076053,0.9599358974358975,0.07062397127111371,0.9807692307692307
20,0.08072444951185623,0.9759615384615384,0.0798262504574198,0.9807692307692307
21,0.10054772114978196,0.9599358974358975,0.06545048531216498,0.9807692307692307
22,0.08114192846756524,0.9711538461538461,0.05972809466318442,0.9807692307692307
23,0.07697782373258796,0.9743589743589743,0.08418114951704271,0.9807692307692307
24,0.09077046911578435,0.9599358974358975,0.07545777562504205,0.9807692307692307
25,0.09883843761576244,0.9599358974358975,0.08254052931442857,0.9807692307692307
26,0.11458854109514505,0.9567307692307693,0.07366454175028664,0.9807692307692307
27,0.10304751303882743,0.9567307692307693,0.07377572793764277,0.9807692307692307
28,0.10979041955971088,0.9599358974358975,0.07481502139797577,0.9807692307692307
29,0.11295174302395959,0.9519230769230769,0.06261057730835791,0.9807692307692307
