epoch,loss,acc,test_loss,test_acc
0,0.9105386252586658,0.5993589743589743,0.7149134232447698,0.7307692307692307
1,0.48301169963983387,0.8653846153846154,0.21032307010430557,0.9615384615384616
2,0.246210372982881,0.9423076923076923,0.08179837150069383,1.0
3,0.1743608714105227,0.9423076923076923,0.06142354212128199,1.0
4,0.13302969115857893,0.9583333333333334,0.0368949447471935,0.9807692307692307
5,0.12894308257800263,0.9583333333333334,0.024997354485094547,1.0
6,0.11630073121677224,0.967948717948718,0.017847444781532083,1.0
7,0.10064110033906615,0.967948717948718,0.020151384103183564,1.0
8,0.0828556628832116,0.9775641025641025,0.01225816746815466,1.0
9,0.088960780765121,0.9711538461538461,0.011771406127641408,1.0
10,0.05404736994443318,0.9887820512820513,0.012876013696838457,1.0
11,0.0898265471855083,0.9775641025641025,0.014097547745153021,1.0
12,0.08682804507836221,0.9743589743589743,0.007909127676752038,1.0
13,0.05980666809661601,0.9807692307692307,0.009439989199073842,1.0
14,0.05869542039895,0.9855769230769231,0.008846195094520226,1.0
15,0.057140089508790806,0.9791666666666666,0.008538053140420323,1.0
16,0.05742307015670798,0.9871794871794872,0.007475609273219911,1.0
17,0.08180402708986105,0.9743589743589743,0.0073571025120775,1.0
18,0.05055044873510129,0.9791666666666666,0.015600183039518574,1.0
19,0.06199085718850629,0.9775641025641025,0.00785516998215686,1.0
