epoch,loss,iou,dice,test_loss,test_iou,test_dice
0,1.0335971522025573,0.2459281512082236,0.2428161240036249,0.9074090994321383,0.3909740112639205,0.29852764976274526
1,0.8552830486725538,0.40981901369450807,0.34587771365131115,0.8841173098637507,0.40402553865461244,0.3924636085216411
2,0.7012412486932217,0.48935093401462365,0.4499116017270781,0.6170505193563608,0.5702415095886537,0.5269596465702143
3,0.5409631526623017,0.577408072145996,0.5757211556793206,0.5076863857416006,0.5966418032665575,0.6120929407336804
4,0.44305097865752685,0.6065172812210959,0.6505538658159578,0.4324420736386226,0.6328113702509397,0.6576553189360103
5,0.3485294081843816,0.6707176264634822,0.7276378779729885,0.36114097787783694,0.657367926414664,0.722720916383695
6,0.3236991381033873,0.6739219727884936,0.7490505175069325,0.3141044469980093,0.7020952310231773,0.7669582915279687
7,0.296290398026124,0.6920037837055909,0.7716227719953568,0.2866411484204806,0.7098739548184245,0.781805193922768
8,0.26422672651899165,0.7183453746834593,0.7960907530670907,0.2856480823113368,0.7153206021649738,0.7941293460850528
9,0.23737925338821533,0.7422658440240841,0.818002009874693,0.3437924522619981,0.650888488260651,0.7524368410823681
10,0.2379306401961889,0.7433814984660007,0.8221675601763797,0.2590779203634996,0.7306951809016459,0.814382143237999
11,0.2182908350458512,0.7593162835632619,0.8353195429900654,0.24648303939745977,0.7369255093792889,0.8188178308566693
12,0.19948193115683702,0.7797417523865557,0.8508460096835776,0.25407332411179173,0.7209574690446092,0.8072556846640085
13,0.198348187483274,0.7794663240106292,0.8525236174548281,0.22290521974746996,0.76206172526195,0.8408375194291801
14,0.1935402522675502,0.7872915017796832,0.8570698220088261,0.20733831593623528,0.7605310955000475,0.8379946179629608
15,0.1863509063155223,0.7890533564130673,0.8602952644738275,0.19980741234926078,0.7752478979195416,0.8525089818887418
16,0.1920740159276204,0.7846877378144074,0.8585825166609377,0.2808534101797984,0.7235598942652703,0.8115155792414026
17,0.16463290412838644,0.8134466070434063,0.877451275221679,0.1981842300066581,0.7801521119654318,0.8574049593222666
18,0.16005501112876794,0.8195087988646598,0.8829431044951763,0.1793665473277752,0.8004288644260549,0.8700548110531897
19,0.16184223137604883,0.818420946577331,0.8817726993885466,0.30039552541879505,0.7024130592823609,0.7970290705274881
20,0.15279399880614036,0.8265176107556303,0.8879041739975104,0.17203891850434816,0.8046874530530632,0.874587775881208
21,0.14130035071418837,0.837016705026273,0.8952387084997403,0.1637851229080787,0.8087518394162465,0.8781276298496603
22,0.14137649015547374,0.8391042980693587,0.8970042294487047,0.19654433658489814,0.7857289440973422,0.863081331182867
23,0.14118820027663156,0.8350373641293802,0.8947294173695369,0.1732561576824922,0.803610164331183,0.8750909055714033
24,0.14345953489343324,0.8330059770506042,0.8935392582003684,0.22646902272334465,0.7639973121875315,0.8470551868200135
25,0.13831362987940127,0.8411022752544411,0.8983432830630855,0.14954767318872306,0.8252576186257663,0.8890605117831528
26,0.13497979279894096,0.845484297646602,0.9014676910726888,0.21043008336654076,0.7704798067868264,0.8515293036740068
27,0.12843200225287524,0.8518357056092466,0.9058581309563553,0.17250314011023596,0.7974523465073744,0.8688843163007468
